variant,variant_label,outcome,outcome_label,excluded_reporter_code,excluded_country,excluded_iso3,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive,min_year_countries,max_year_countries
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,646,Rwanda,RWA,25,0.4096624497995654,0.4131934752655674,0.27583041197614544,0.4593832653312283,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,662,Saint Lucia,LCA,25,0.4207169644748425,0.42622867328749686,0.27583041197614544,0.4713719335004091,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,670,Saint Vincent and the Grenadines,VCT,25,0.4066178650482037,0.4103939922686127,0.2627522686231101,0.4571279191355873,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,882,Samoa,WSM,25,0.41296130093874134,0.41942604856512133,0.2627522686231101,0.47472213617027703,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,678,Sao Tome and Principe,STP,25,0.4268310724667983,0.4336284419658417,0.28315665399814127,0.48492999569320505,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,682,Saudi Arabia,SAU,25,0.40879574144359393,0.4129201109066882,0.26592569645407216,0.4598138314231235,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,686,Senegal,SEN,25,0.4131597310863858,0.4160469667318983,0.2735041443456316,0.46364108557330214,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,688,Serbia,SRB,25,0.41550582189793434,0.4182676890902753,0.2769382466055656,0.46642951359700374,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,690,Seychelles,SYC,25,0.4208578027340721,0.4314743813175322,0.28435802310557695,0.4714046706169397,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,702,Singapore,SGP,25,0.4118626722429677,0.41578475509240076,0.269624251033253,0.4620965151484086,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,703,Slovakia,SVK,25,0.4148074937448856,0.4174081536251723,0.2750455235778132,0.46501821362912543,1.0,129,154
