product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:283230,H0,283230,Thiosulphates,False,False,not_primary_strict,not_primary_broad
HS1992:284590,H0,284590,Other,False,False,not_primary_strict,not_primary_broad
HS1992:290219,H0,290219,"Cyclanes, cyclenes and cycloterpenes:-- Other",False,False,not_primary_strict,not_primary_broad
HS1992:290490,H0,290490,Other,False,False,not_primary_strict,not_primary_broad
HS1992:294000,H0,294000,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading No. 29.37, 29.38 or 29.39.",False,False,not_primary_strict,not_primary_broad
HS1992:390430,H0,390430,Vinyl chloride-vinyl acetate copolymers,False,False,not_primary_strict,not_primary_broad
HS1992:400249,H0,400249,Chloroprene (chlorobutadiene) rubber (CR) :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:611693,H0,611693,Other :-- Of synthetic fibres,False,False,not_primary_strict,not_primary_broad
HS1992:681220,H0,681220,Yarn and thread,False,False,not_primary_strict,not_primary_broad
HS1992:681230,H0,681230,"Cords and string, whether or not plaited",False,False,not_primary_strict,not_primary_broad
HS1992:681240,H0,681240,Woven or knitted fabric,False,False,not_primary_strict,not_primary_broad
HS1992:681290,H0,681290,Other,False,False,not_primary_strict,not_primary_broad
HS1992:731990,H0,731990,Other,False,False,not_primary_strict,not_primary_broad
HS1992:848041,H0,848041,Moulds for metal or metal carbides :-- Injection or compression types,False,False,not_primary_strict,not_primary_broad
HS1992:853080,H0,853080,Other equipment,False,False,not_primary_strict,not_primary_broad
HS1992:920510,H0,920510,Brass-wind instruments,False,False,not_primary_strict,not_primary_broad
HS1992:150510,H0,150510,"Wool grease, crude",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:150590,H0,150590,Other,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:251990,H0,251990,Other,True,True,strict_minerals_ores_hs25_26,strict_minerals_ores_hs25_26
HS1992:270720,H0,270720,Toluole,False,True,not_primary_strict,broad_all_fuels_refinery_hs27
HS1992:292230,H0,292230,"Amino-aldehydes, amino-ketones and amino-quinones, other than those containing more than one kind of oxygen function; salts thereof",False,False,not_primary_strict,not_primary_broad
HS1992:293321,H0,293321,Compounds containing an unfused imidazole ring (whether or not hydrogenated) in the structure :-- Hydantoin and its derivatives,False,False,not_primary_strict,not_primary_broad
HS1992:294150,H0,294150,Erythromycin and its derivatives; salts thereof,False,False,not_primary_strict,not_primary_broad
HS1992:510810,H0,510810,Carded,False,False,not_primary_strict,not_primary_broad
HS1992:611692,H0,611692,Other :-- Of cotton,False,False,not_primary_strict,not_primary_broad
HS1992:820140,H0,820140,"Axes, bill hooks and similar hewing tools",False,False,not_primary_strict,not_primary_broad
HS1992:845970,H0,845970,Other threading or tapping machines,False,False,not_primary_strict,not_primary_broad
HS1992:853290,H0,853290,Parts,False,False,not_primary_strict,not_primary_broad
HS1992:871492,H0,871492,Other :-- Wheel rims and spokes,False,False,not_primary_strict,not_primary_broad
HS1992:910400,H0,910400,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels.",False,False,not_primary_strict,not_primary_broad
HS1992:020743,H0,020743,"Duck, goose, guinea fowl cuts, offal not liver, froze",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:290539,H0,290539,Diols:-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:291816,H0,291816,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Gluconic acid, its salts and esters",False,False,not_primary_strict,not_primary_broad
HS1992:292112,H0,292112,Acyclic monoamines and their derivatives; salts thereof :-- Diethylamine and its salts,False,False,not_primary_strict,not_primary_broad
HS1992:292119,H0,292119,Acyclic monoamines and their derivatives; salts thereof :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:310240,H0,310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances,False,False,not_primary_strict,not_primary_broad
HS1992:382310,H0,382310,Prepared binders for foundry moulds or cores,False,False,not_primary_strict,not_primary_broad
HS1992:521214,H0,521214,Weighing not more than 200 g/m2 :-- Of yarns of different colours,False,False,not_primary_strict,not_primary_broad
HS1992:660200,H0,660200,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",False,False,not_primary_strict,not_primary_broad
HS1992:701400,H0,701400,"Signalling glassware and optical elements of glass (other than those of heading No. 70.15), not optically worked.",False,False,not_primary_strict,not_primary_broad
HS1992:900620,H0,900620,"Cameras of a kind used for recording documents on microfilm, microfiche or other microforms",False,False,not_primary_strict,not_primary_broad
HS1992:910199,H0,910199,Other,False,False,not_primary_strict,not_primary_broad
HS1992:911420,H0,911420,Jewels,False,False,not_primary_strict,not_primary_broad
HS1992:151913,H0,151913,Tall oil fatty acids,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:250490,H0,250490,Other,True,True,strict_minerals_ores_hs25_26,strict_minerals_ores_hs25_26
HS1992:284330,H0,284330,Gold compounds,False,False,not_primary_strict,not_primary_broad
HS1992:510521,H0,510521,Wool tops and other combed wool :-- Combed wool in fragments,True,True,strict_raw_textile_fibers,strict_raw_textile_fibers
HS1992:845951,H0,845951,"Milling machines, knee-type :-- Numerically controlled",False,False,not_primary_strict,not_primary_broad
HS1992:900190,H0,900190,Other,False,False,not_primary_strict,not_primary_broad
