country,iso3,reporter_code,year,import_bin,total_imports_in_bin,active_products,product_gini,top_1_product_share,top_5_product_share,top_10_product_share
Iceland,ISL,352,2016,capital_goods,989862987.0,566,0.8421600309182478,0.20251681559237855,0.36443970199685827,0.4677633673356048
Iceland,ISL,352,2016,energy,617280303.0,27,0.9360547095583265,0.8099683491763708,0.988021953780048,0.9987893036658259
Iceland,ISL,352,2016,final_consumption,1549024550.0,1205,0.8264571968205217,0.09100579135430746,0.2498513274047206,0.3468814848673638
Iceland,ISL,352,2016,intermediates,2456843238.0,2524,0.908733931303058,0.17430750663140193,0.3736262866926962,0.44349254936061167
Iceland,ISL,352,2016,unmapped_or_ambiguous,90229054.0,90,0.7102387963760666,0.14391511851603808,0.4223541454840034,0.6018246960674108
Iceland,ISL,352,2017,capital_goods,1235304559.517,641,0.8272885078982477,0.16775225188193615,0.30635730180010873,0.4057936807697029
Iceland,ISL,352,2017,energy,801302032.7679999,31,0.9413308751968499,0.8132071901253544,0.9811955913240984,0.9969800110594494
Iceland,ISL,352,2017,final_consumption,2054089895.927,1249,0.8307988851095549,0.10740066756496049,0.2520138773967257,0.342497486820315
Iceland,ISL,352,2017,intermediates,2864525120.137,2524,0.9137119708551853,0.20971659702927262,0.39579909063802354,0.4639688360231368
Iceland,ISL,352,2017,unmapped_or_ambiguous,15540896.841,18,0.7473065969951251,0.37270114912025243,0.9046085160227723,0.9925211607033277
Iceland,ISL,352,2018,capital_goods,1216722064.88,639,0.8258714358433403,0.09936253005070925,0.24054202641329192,0.3629009883901038
Iceland,ISL,352,2018,energy,1131800558.3019998,27,0.9393673438954011,0.8526018569603091,0.9834670137333442,0.997981297633014
Iceland,ISL,352,2018,final_consumption,2034814574.334,1243,0.8200161932289902,0.06901541834786803,0.21617797900085053,0.3061152579786651
Iceland,ISL,352,2018,intermediates,3279515849.104,2527,0.9217031417908128,0.2579534906940994,0.42892087980496063,0.4854620877953598
Iceland,ISL,352,2018,unmapped_or_ambiguous,23180311.505999997,19,0.7965491152428474,0.47403102543103504,0.909533204355032,0.9923033514906036
Iceland,ISL,352,2019,capital_goods,1062682559.799,632,0.8227410055703828,0.09424697596801028,0.26193193542730986,0.3821090975284321
Iceland,ISL,352,2019,energy,805869907.337,26,0.9335295031907105,0.8280316494656667,0.9834143031147948,0.9987729606044387
Iceland,ISL,352,2019,final_consumption,1736931849.3849998,1242,0.8049986736002641,0.040427292675796575,0.16398403766264646,0.25156009013981145
Iceland,ISL,352,2019,intermediates,2958242962.4849997,2520,0.9177968243539318,0.2059033596639845,0.39265885242206156,0.4587791461303549
Iceland,ISL,352,2019,unmapped_or_ambiguous,15276671.056000002,21,0.8291921524839754,0.573886097819504,0.9196392475494303,0.990206942700305
Iceland,ISL,352,2020,capital_goods,841177974.4530001,639,0.8054453847942,0.04957594710693424,0.19908009527935727,0.332109119512626
Iceland,ISL,352,2020,energy,377009115.453,29,0.9275314191183888,0.7453703744678619,0.9667979511875743,0.997238283345619
Iceland,ISL,352,2020,final_consumption,1771988159.8460002,1267,0.8161724357323468,0.05554757065394519,0.18141940236041904,0.26179350359898357
Iceland,ISL,352,2020,intermediates,2685428439.818,2602,0.9158228168044307,0.17076489976663806,0.37558510932741757,0.45247154629126873
Iceland,ISL,352,2020,unmapped_or_ambiguous,21076674.791,22,0.821958613142395,0.5046200555574155,0.9019574922756608,0.9945963695350731
Iceland,ISL,352,2021,capital_goods,1519588082.5759997,648,0.8599428737534633,0.12261760019211063,0.3613248324856741,0.4797851888915009
Iceland,ISL,352,2021,energy,595282078.67,30,0.9328713507892799,0.7391846603380293,0.9780425479829605,0.998741082248479
Iceland,ISL,352,2021,final_consumption,2313406139.924,1272,0.8257114259539966,0.08371539056015577,0.2257808484476312,0.2988938851466505
