country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Greenland,GRL,304,gini,2000,2018,0.8615028327742849,0.8813262441876989,0.019823411413414038,increase,top5,Top 5,top-5 superstar concentration,0.05076743767684522,-0.04735194564866013,-0.005750599733313377,0.022158519118542275
Grenada,GRD,308,gini,2000,2024,0.8644556859442221,0.8652491909009763,0.0007935049567542318,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.0008516533240188889,-0.06071665575857593,0.0020974245398290847,0.06026438949952029
Guatemala,GTM,320,gini,2000,2024,0.849778636644036,0.8625874719301657,0.01280883528612975,increase,rank51_200,Ranks 51-200,middle-tail change,-0.012229006744839302,-0.01652997880973972,0.02525303921257649,0.016314781628132574
Guyana,GUY,328,gini,2000,2024,0.8563178218907463,0.9122317328664086,0.05591391097566223,increase,top5,Top 5,top-5 superstar concentration,0.1274713467940098,0.024352019941376424,-0.057730473954092365,-0.03817898180563173
Honduras,HND,340,gini,2000,2024,0.8611261886746431,0.8860383202566025,0.024912131581959374,increase,top5,Top 5,top-5 superstar concentration,0.039758377746682685,-0.01386592339913234,0.004809809884871646,-0.005790132650462715
Hungary,HUN,348,gini,2000,2024,0.8280975727356268,0.8740931851146755,0.0459956123790487,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.0255879178096117,0.033836633936672134,0.029864217702657847,0.007882678549330474
Iceland,ISL,352,gini,2000,2024,0.8559600644804279,0.891595400266896,0.03563533578646805,increase,top5,Top 5,top-5 superstar concentration,0.03859722229116086,0.0136617671229885,-0.006916030384972349,-0.009707623242709101
India,IND,699,gini,2000,2024,0.9054705395124514,0.8778865434781334,-0.027583996034317937,decrease,top5,Top 5,top-5 superstar concentration,-0.13856025050939785,-0.01341703892351323,0.05173619926031614,0.07265709413827692
Indonesia,IDN,360,gini,2000,2024,0.8594729182389658,0.8393375972957448,-0.020135320943221013,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.0326365656088666,-0.0314897592580749,0.003028992830997723,0.04096201109272285
Iran,IRN,364,gini,2000,2022,0.8686818206194645,0.8776795236999939,0.008997703080529385,increase,top5,Top 5,top-5 superstar concentration,0.03594207392811469,-0.026191119289512788,-0.023537909854941308,0.022784658296868904
Ireland,IRL,372,gini,2000,2024,0.8576898748100791,0.9036087236796295,0.045918848869550444,increase,top5,Top 5,top-5 superstar concentration,0.037159819077920375,0.03123284574982846,0.00797300120119046,-0.030446817159388906
Israel,ISR,376,gini,2000,2024,0.8794007958316621,0.8583922354851985,-0.02100856034646359,decrease,top5,Top 5,top-5 superstar concentration,-0.226598893399205,0.04384141622418608,0.08392067707979706,0.07782823974875833
Italy,ITA,380,gini,2000,2024,0.7978773833283579,0.8227330441572064,0.02485566082884849,increase,top5,Top 5,top-5 superstar concentration,-0.0196757819083936,0.017258109012137368,0.014830959383560272,0.012442374341544216
Jamaica,JAM,388,gini,2000,2024,0.8691630564371903,0.8779180090177808,0.008754952580590558,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,0.003223438115493693,-0.027265316169185372,0.018274533167443957,0.014522297466838446
Japan,JPN,392,gini,2000,2024,0.853132899054071,0.8606290531609027,0.007496154106831687,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.008493622727989841,-0.02425997436402874,0.017456011001519695,0.02279374019733052
