flow,dimension,item_code,item_name,display_label,reporters_evaluated,present_reporter_count,top5_reporter_count,mean_loo_gini_contribution_all_reporters,mean_loo_gini_contribution_present_reporters,mean_loo_gini_contribution_top5_reporters,median_loo_gini_contribution_top5_reporters,mean_loo_gini_contribution_share_all_reporters,mean_loo_gini_contribution_share_present_reporters,mean_loo_gini_contribution_share_top5_reporters,median_loo_gini_contribution_share_top5_reporters,mean_full_gini
Exports,product,852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers...","Reception apparatus for television, whether or... (HS 852872)",33,33,2,9.628880721734173e-05,9.628880721734173e-05,0.001332443906885361,0.001332443906885361,0.00010616272451535426,0.00010616272451535426,0.001474416927679593,0.001474416927679593,0.9197688938362708
Exports,product,300212,"Blood, human or animal, antisera, other blood fractions and immunological products: antisera...","Blood, human or animal, antisera, other blood... (HS 300212)",33,33,2,0.00011573164828620526,0.00011573164828620526,0.0015630688294140382,0.0015630688294140382,0.00013127794645530005,0.00013127794645530005,0.0017543095368462687,0.0017543095368462687,0.9197688938362708
Exports,product,760120,"Aluminium: unwrought, alloys","Aluminium: unwrought, alloys (HS 760120)",33,33,2,4.405921194346311e-05,4.405921194346311e-05,0.0006772483758278325,0.0006772483758278325,4.405040101497307e-05,4.405040101497307e-05,0.0006910178209810423,0.0006910178209810423,0.9197688938362708
Exports,product,847130,Portable computers/laptops,Portable computers/laptops (HS 847130),33,33,1,0.0001688991372350366,0.0001688991372350366,0.003949397703567836,0.003949397703567836,0.00019575492255757888,0.00019575492255757888,0.004626768937961488,0.004626768937961488,0.9197688938362708
Exports,product,271121,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, natural gas",Petroleum gases and other gaseous hydrocarbons:... (HS 271121),33,24,1,0.0004323457929765369,0.0005944754653427383,0.00939989482965875,0.00939989482965875,0.00045408129863606613,0.000624361785624591,0.00961238706756936,0.00961238706756936,0.9197688938362708
Exports,product,120190,"Soya beans: other than seed, whether or not broken","Soya beans: other than seed, whether or not broken (HS 120190)",33,32,1,0.00013726930684440725,0.00014155897268329498,0.004466393936525037,0.004466393936525037,0.00014199584452613838,0.00014643321466758017,0.004625066376731359,0.004625066376731359,0.9197688938362708
Exports,product,270112,"Coal: bituminous, whether or not pulverised, but not agglomerated","Coal: bituminous, whether or not pulverised,... (HS 270112)",33,27,1,0.00011065505742789736,0.00013524507018965233,0.002635793394822228,0.002635793394822228,0.00011295233757946887,0.00013805285704157307,0.0026935718743552974,0.0026935718743552974,0.9197688938362708
Exports,product,271111,Liquefied natural gas,Liquefied natural gas (HS 271111),33,22,1,0.00012299617932459537,0.00018449426898689306,0.0024023702061026775,0.0024023702061026775,0.0001287338552000057,0.00019310078280000855,0.002455031882111438,0.002455031882111438,0.9197688938362708
Exports,product,854231,Processor/controller chips,Processor/controller chips (HS 854231),33,33,1,0.00018996570987593313,0.00018996570987593313,0.0029955046696632515,0.0029955046696632515,0.00021068874213633356,0.00021068874213633356,0.003189628675433543,0.003189628675433543,0.9197688938362708
Exports,product,880240,Large aircraft,Large aircraft (HS 880240),33,25,1,0.0002605868340492879,0.00034397462094506006,0.005496771052839744,0.005496771052839744,0.00029779630624344376,0.00039309112424134576,0.006324411223426294,0.006324411223426294,0.9197688938362708
