country,iso3,reporter_code,year,flow,dimension,total_trade_value,top_1_item_share,top_2_item_share,top_3_item_share,top_4_item_share,top_5_item_share,cumulative_top_5_share,gini,active_count,top_5_partner_share
Norway,NOR,579,2025,Imports,product,109870738717.676,0.06199172197774834,0.03576278163611597,0.027565458762313328,0.015910834023324542,0.015594388865516508,0.1568251852650187,0.8718563261646683,5164,
Poland,POL,616,2024,Exports,partner,380333187161.0,0.2706290594499941,0.06097168946548848,0.06081674581347671,0.05279020774619065,0.04614982055870365,0.49135752303385355,0.9056100789724648,227,0.49135752303385355
Poland,POL,616,2024,Exports,product,380333187161.0,0.016909222694988263,0.014151405445777266,0.01289683863407799,0.011935449551181008,0.009893402032800157,0.06578631835882469,0.8711286494119082,5212,
Poland,POL,616,2024,Imports,partner,379496069834.0,0.19217611359691086,0.14511772090048136,0.050062458381480386,0.04685758203445522,0.038565665205444424,0.47277954011877227,0.8973970497581563,235,0.47277954011877227
Poland,POL,616,2024,Imports,product,379496069834.0,0.04003404648075974,0.01690846903844566,0.01680436725152259,0.015620132560510949,0.01510822290072191,0.10447523823196085,0.8462275790448559,5388,
Russia,RUS,643,2021,Exports,partner,492313790696.684,0.13950299458451182,0.08560602192038871,0.06021697867453153,0.05367774714304381,0.04698300790566863,0.3859867502281445,0.8511378144854291,199,0.38598675022814455
Russia,RUS,643,2021,Exports,product,492313790696.684,0.2254014590671255,0.14897790426198396,0.11024943829604687,0.03526646323331795,0.031866444318468426,0.5517617091769428,0.9663079456334482,4947,
Russia,RUS,643,2021,Imports,partner,293497128020.037,0.24767882863323032,0.0931884825365064,0.0588267899952714,0.05327320773624935,0.04424889069992326,0.49721619960118074,0.8920719119653786,220,0.49721619960118074
Russia,RUS,643,2021,Imports,product,293497128020.037,0.0472288988076322,0.02638913751021523,0.02507357983488207,0.012906578585605073,0.011336759275589386,0.12293495401392396,0.8374655292545043,4972,
Slovakia,SVK,703,2025,Exports,partner,129838072295.192,0.21392654854286186,0.12433671558962918,0.07740444929828307,0.07553517935818255,0.05386449868361901,0.5450673914725757,0.9137022871304621,199,0.5450673914725757
Slovakia,SVK,703,2025,Exports,product,129838072295.192,0.07785249149528012,0.04815953623184338,0.036707464597943586,0.035603604191119693,0.026514316130173174,0.22483741264635992,0.9322174141029851,4653,
Slovakia,SVK,703,2025,Imports,partner,129864656107.366,0.13759079253868295,0.10065706300859761,0.0950595441660727,0.078601743029357,0.06158118315768899,0.4734903259003993,0.9164178913931564,236,0.4734903259003992
Slovakia,SVK,703,2025,Imports,product,129864656107.366,0.03975243356257719,0.03504132871775946,0.031423064450609495,0.02211651016956021,0.02126186675405507,0.14959520365456141,0.893187925148903,5202,
Spain,ESP,724,2025,Exports,partner,449503281706.754,0.14141033791524354,0.10020897360065299,0.08675056677880331,0.08039107606443319,0.06357297616118077,0.4723339305203138,0.8817712273027514,230,0.47233393052031397
Spain,ESP,724,2025,Exports,product,449503281706.754,0.03871417887841757,0.025612415131609067,0.023482751399886825,0.022457986003440827,0.016468837873095707,0.12673616928644998,0.8612997632919488,5385,
Spain,ESP,724,2025,Imports,partner,520906310409.967,0.11081986720645315,0.11004767286165162,0.08261750206692937,0.06911289037221491,0.06685528487556532,0.43945321738281434,0.8789006241478896,236,0.43945321738281434
Spain,ESP,724,2025,Imports,product,520906310409.967,0.06282815184214516,0.029060480531309288,0.028826848818030142,0.01825434839778639,0.017198848167099455,0.15616867775637044,0.8507264254441318,5491,
Sweden,SWE,752,2025,Exports,partner,219635923180.057,0.09845483426228739,0.09816310019003151,0.07997043067284473,0.06979977958948481,0.0649499722264527,0.4113381169411011,0.8923225502807388,225,0.4113381169411011
Sweden,SWE,752,2025,Exports,product,219635923180.057,0.043477844040874444,0.0322680962092886,0.02839325397374361,0.025430912640601995,0.02483494538704078,0.15440505225154944,0.9076941882471519,5091,
Sweden,SWE,752,2025,Imports,partner,211845441086.662,0.15931176923871931,0.10889019603592205,0.08669990500529778,0.06735475776752213,0.0639852330935076,0.4862418611409689,0.9185348421073842,230,0.48715101021063995
Sweden,SWE,752,2025,Imports,product,211845441086.662,0.0508841404204081,0.04520376046692245,0.023455655287343596,0.02257475622709118,0.019299727936417793,0.1614180403381831,0.8682054648237632,5294,
Switzerland,CHE,757,2025,Exports,partner,553517336652.562,0.219104469377488,0.10972572908304566,0.10553266135470848,0.06498963895165016,0.058725908733551754,0.558078407500444,0.9207967278290163,224,0.5580784075004441
Switzerland,CHE,757,2025,Exports,product,553517336652.562,0.3237946648713093,0.10573341117093465,0.0803928037396623,0.03248412074639898,0.029966169968145707,0.5723711704964509,0.9710845819214406,5105,
Switzerland,CHE,757,2025,Imports,partner,506588194748.218,0.15040504137406574,0.1359681699511224,0.09459921480812511,0.07590754085447678,0.06120505047736521,0.5180850174651552,0.8809250368629649,196,0.5176563427526255
Switzerland,CHE,757,2025,Imports,product,506588194748.218,0.41301598396152717,0.10103370627970804,0.025594550669642523,0.02153085682633422,0.010875683180484102,0.5720507809176962,0.9356512778418811,5442,
Turkey,TUR,792,2025,Exports,partner,273361209783.0,0.08109135188052768,0.06135802763060162,0.059731234526514125,0.048404221314003244,0.04528716526689107,0.29587200061853774,0.8075792819532539,222,0.29587200061853774
Turkey,TUR,792,2025,Exports,product,273361209783.0,0.04114529830303476,0.03577586900776216,0.034866772745723834,0.02332902272441067,0.016663861692798543,0.15178082447372998,0.8813580019278731,5179,
Turkey,TUR,792,2025,Imports,partner,365369912607.0,0.13568697300296037,0.1159730650744015,0.0824083955221198,0.05697242969316459,0.04948477348064376,0.44052563677329004,0.8810435679074842,224,0.44052563677329004
Turkey,TUR,792,2025,Imports,product,365369912607.0,0.10574809101908454,0.06330236826554964,0.045151625680641606,0.018919105663840495,0.016906002946236186,0.25002719357535247,0.8949187669183543,5225,
United Kingdom,GBR,826,2025,Exports,partner,566427748786.185,0.15957905921005539,0.07628623382171049,0.06623257570987666,0.0591844754255737,0.05659387155831876,0.41787621572553496,0.8861857864322791,233,0.4178762157255351
United Kingdom,GBR,826,2025,Exports,product,566427748786.185,0.1487240334411873,0.055010920872272016,0.04767804340295178,0.0343014768636435,0.030330855190924252,0.3160453297709788,0.9201036037944559,5262,
United Kingdom,GBR,826,2025,Imports,partner,961777159011.316,0.11880945999077688,0.11430898622968698,0.08391525989999561,0.05419113451217942,0.04505574356410573,0.41628058419674463,0.8866056094196042,234,0.41628058419674474
United Kingdom,GBR,826,2025,Imports,product,961777159011.316,0.1613378143247757,0.046487959587124005,0.027085458577099042,0.021132788670042493,0.020800395199211234,0.27684441635825247,0.8909533979580684,5398,
United States,USA,842,2025,Exports,partner,2177127769561.0,0.15523160460037982,0.1514170784250628,0.0488296469303849,0.044463192203698425,0.04392839980139731,0.44386992196092323,0.8810309318155314,222,0.4438699219609233
United States,USA,842,2025,Exports,product,2177127769561.0,0.10314141795190968,0.04609115398414766,0.0328996883051301,0.02936578308625937,0.020501075718674964,0.23199911904612175,0.9066910066007281,5516,
United States,USA,842,2025,Imports,partner,3500545985635.0,0.15396580736739893,0.11210929377401412,0.09355000744650858,0.058571758411511604,0.0574931051495648,0.47568997214899805,0.9016723593436045,223,0.47518416377130274
United States,USA,842,2025,Imports,product,3500545985635.0,0.04701268493953149,0.042349123355140926,0.041949740374960943,0.025526189001282572,0.02426636910144486,0.18110410677236077,0.8924255570227864,5485,
