flow,product_id
Exports,HS1992:284700
Exports,HS1992:284810
Exports,HS1992:284890
Exports,HS1992:284910
Exports,HS1992:284920
Exports,HS1992:284990
Exports,HS1992:285000
Exports,HS1992:285100
Exports,HS1992:290110
Exports,HS1992:290121
Exports,HS1992:290122
Exports,HS1992:290123
Exports,HS1992:290124
Exports,HS1992:290129
Exports,HS1992:290211
Exports,HS1992:290219
Exports,HS1992:290220
Exports,HS1992:290230
Exports,HS1992:290241
Exports,HS1992:290242
Exports,HS1992:290243
Exports,HS1992:290244
Exports,HS1992:290250
Exports,HS1992:290260
Exports,HS1992:290270
Exports,HS1992:290290
Exports,HS1992:290311
Exports,HS1992:290312
Exports,HS1992:290313
Exports,HS1992:290314
Exports,HS1992:290315
Exports,HS1992:290316
Exports,HS1992:290319
Exports,HS1992:290321
Exports,HS1992:290322
Exports,HS1992:290323
Exports,HS1992:290329
Exports,HS1992:290330
Exports,HS1992:290340
Exports,HS1992:290351
Exports,HS1992:290359
Exports,HS1992:290361
Exports,HS1992:290362
Exports,HS1992:290369
Exports,HS1992:290410
Exports,HS1992:290420
Exports,HS1992:290490
Exports,HS1992:290511
Exports,HS1992:290512
Exports,HS1992:290513
Exports,HS1992:290514
Exports,HS1992:290515
Exports,HS1992:290516
Exports,HS1992:290517
Exports,HS1992:290519
Exports,HS1992:290521
Exports,HS1992:290522
Exports,HS1992:290529
Exports,HS1992:290531
Exports,HS1992:290532
Exports,HS1992:290539
Exports,HS1992:290541
Exports,HS1992:290542
Exports,HS1992:290543
Exports,HS1992:290544
Exports,HS1992:290549
Exports,HS1992:290550
Exports,HS1992:290611
Exports,HS1992:290612
Exports,HS1992:290613
Exports,HS1992:290614
Exports,HS1992:290619
Exports,HS1992:290621
Exports,HS1992:290629
Exports,HS1992:290711
Exports,HS1992:290712
Exports,HS1992:290713
Exports,HS1992:290714
Exports,HS1992:290715
Exports,HS1992:290719
Exports,HS1992:290721
Exports,HS1992:290722
Exports,HS1992:290723
Exports,HS1992:290729
Exports,HS1992:290730
Exports,HS1992:290810
Exports,HS1992:290820
Exports,HS1992:290890
Exports,HS1992:290911
Exports,HS1992:290919
Exports,HS1992:290920
Exports,HS1992:290930
Exports,HS1992:290941
Exports,HS1992:290942
Exports,HS1992:290943
Exports,HS1992:290944
Exports,HS1992:290949
Exports,HS1992:290950
Exports,HS1992:290960
Exports,HS1992:291010
Exports,HS1992:291020
Exports,HS1992:291030
Exports,HS1992:291090
Exports,HS1992:291100
Exports,HS1992:291211
Exports,HS1992:291212
Exports,HS1992:291213
Exports,HS1992:291219
Exports,HS1992:291221
Exports,HS1992:291229
Exports,HS1992:291230
Exports,HS1992:291241
Exports,HS1992:291242
