year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value
2024,Exports,product,baseline,132,132,0.9590761408096848,4.732307790992837,0.05438309858765211,0.9486143746407955,4.755674245491641,0.12055273475083818,3076.0,19928002055.3175
2000,Imports,product,baseline,143,143,0.8743531423745705,2.9349504610680137,0.015578224417841954,0.8752214162482933,3.0466033045295857,0.023859008177605126,4208.0,3404646360.0
2001,Imports,product,baseline,146,146,0.8756952885871526,2.8929025610624013,0.013638749368683988,0.8750764975678803,3.019828856909677,0.02245019616716729,4181.5,3958004413.5
2002,Imports,product,baseline,146,146,0.8759111476754398,2.906409057701583,0.014245965146308368,0.8753747948204703,2.9890576291669615,0.020408621989057445,4226.0,4238686866.0
2003,Imports,product,baseline,149,149,0.8776147304220432,2.893717382209607,0.014884581853245649,0.8775229902291892,3.0220169821851663,0.02243681287837579,4261.0,4466429580.0
2004,Imports,product,baseline,148,148,0.8797830913464456,2.9237096781748297,0.015376646347222127,0.8814654884674269,3.0568355678597063,0.023586321302352123,4286.0,5662285042.96
2005,Imports,product,baseline,149,149,0.8831687168254214,3.0581420193156155,0.01887397038815813,0.884961072359953,3.1461923053931735,0.028315642259385553,4363.0,7884343631.348999
2006,Imports,product,baseline,152,152,0.8853139422433732,3.0439507951039246,0.02036506919334488,0.8871415879773167,3.168797619509169,0.030742521608062363,4383.0,9410171436.5
2007,Imports,product,baseline,153,153,0.8863261125203763,3.0082463719113073,0.017718127518927682,0.8853595419175755,3.1122454403106783,0.026464454419565884,4329.0,11185977236.0
2008,Imports,product,baseline,150,150,0.8887993269290734,3.0444456661256947,0.01835742701589859,0.8870621521280523,3.149201283182281,0.02817601502772341,4324.0,15196833462.088501
2009,Imports,product,baseline,149,149,0.8819573175095266,2.95386400603994,0.01662895038811471,0.8814447068357383,3.0295786247518253,0.02312053279207436,4232.0,8957502787.0
2010,Imports,product,baseline,153,153,0.885232596336313,2.9911016926624656,0.016677902212073503,0.8848945627938142,3.071151104498485,0.023510546851219862,4276.0,12351375862.0
2011,Imports,product,baseline,151,151,0.889315024082175,3.127705147162261,0.02023851163179677,0.889220840872671,3.1892352151680465,0.02940835941752751,4336.0,16601054053.0
2012,Imports,product,baseline,152,152,0.8924258995008736,3.1391519289803416,0.022729503210758017,0.89181244467611,3.2279541029197496,0.0316484811021294,4376.5,14481572163.5
2013,Imports,product,baseline,154,154,0.8927878598304589,3.1246027806410313,0.02552026910166843,0.8923422117063075,3.254811396368202,0.03431019338384101,4370.0,17646941217.0
2014,Imports,product,baseline,153,153,0.8911786403801256,3.102915555779923,0.021421270523564306,0.8893610723015392,3.17071250020692,0.029414401907971975,4343.0,18222547407.0
2015,Imports,product,baseline,153,153,0.8815208651897186,2.9206475112077643,0.015188623893248387,0.8828270372710657,2.9988432078502663,0.021190143340926424,4351.0,16386323618.436
2016,Imports,product,baseline,155,155,0.8779557516846956,2.859283789147863,0.012276784551357424,0.8811096834493273,2.947588383635544,0.018882596215161144,4315.0,14023932040.014
2017,Imports,product,baseline,156,156,0.8806039688466814,2.8764219582906403,0.013440924572801449,0.8845909390078618,2.9907461109203726,0.021325380796393525,4352.0,15881299843.4945
2018,Imports,product,baseline,154,154,0.8840166263234318,2.963351806789141,0.01580339192448698,0.8860161482920932,3.0261766621325745,0.02181963156842297,4369.0,16737405077.9895
2019,Imports,product,baseline,154,154,0.8831262755186499,2.961405222450446,0.015064342779619141,0.8863632158784862,3.028603934397709,0.021978300497746253,4385.5,16552956268.902
2020,Imports,product,baseline,152,152,0.8812355713262812,2.860953916988584,0.01302287450690252,0.8840460630829537,2.9537059486953523,0.01941198232401495,4361.0,15038046898.278
2021,Imports,product,baseline,153,153,0.8867719163104051,2.960400242419756,0.014505154040841182,0.8890487449652986,3.0369114922621794,0.02275788332046377,4404.0,18428113840.58
2022,Imports,product,baseline,150,150,0.8928011995852416,3.0962626315142483,0.019835741985955772,0.8964005856098108,3.2082937118903687,0.03189346377779023,4501.0,17925602055.0345
2023,Imports,product,baseline,149,149,0.891246204170649,3.079064805953751,0.01823079017701039,0.8942336074228274,3.1352412084782184,0.029329191195328022,4519.0,17242024722.798
2024,Imports,product,baseline,132,132,0.8901191904518538,3.0052339097118947,0.015834541839404713,0.8909195185273008,3.043195270113414,0.024882373870459072,4600.0,24395060069.2285
2000,Exports,product_partner_cell,baseline,142,142,0.9519601013005096,3.507940900129053,0.02605356695117761,0.9505565624331508,3.664914560954022,0.06622366053076517,6924.5,2712642013.5
2001,Exports,product_partner_cell,baseline,146,146,0.9508911517759093,3.5225161519797608,0.02912821951016007,0.9503552329561001,3.669634035025046,0.07458918351503598,6629.0,2508234922.915
2002,Exports,product_partner_cell,baseline,146,146,0.952702738383496,3.550612648391395,0.030053996314813293,0.9523971062492913,3.728515561020751,0.07488345527475926,7165.0,3164764650.0
2003,Exports,product_partner_cell,baseline,149,149,0.9556045193366616,3.6045870151531583,0.029280428988395155,0.9532429679958192,3.7729302517166765,0.07850029471374462,7459.0,3787687464.0
2004,Exports,product_partner_cell,baseline,148,148,0.9570849152386863,3.5947958859897238,0.026702106829254217,0.9569322639550679,3.8309072294525364,0.07107758169749315,8335.5,4473799241.5
2005,Exports,product_partner_cell,baseline,150,150,0.9582932060530672,3.696131485410932,0.027106564998035317,0.9572288814971557,3.873191111139785,0.0695886217473703,8859.0,4999673086.519
2006,Exports,product_partner_cell,baseline,150,150,0.9602298562645705,3.7361593891225837,0.03038436550596607,0.9588656039482102,3.9582031812078875,0.07229463160528385,9625.5,6642435198.0494995
2007,Exports,product_partner_cell,baseline,153,153,0.958218784287667,3.600772811553285,0.02515853774924858,0.953700924478878,3.8568108747674605,0.06700137841417886,9639.0,7390097340.0
2008,Exports,product_partner_cell,baseline,149,149,0.9608391247949917,3.68603380269964,0.025822012291041228,0.9576868567680739,3.918582900028421,0.06706049030676492,10517.0,9744527664.0
2009,Exports,product_partner_cell,baseline,150,150,0.9575444197825652,3.718932707688424,0.02647118629129462,0.9553808526907566,3.83737503252827,0.060129222972463564,10250.5,7085129779.5
2010,Exports,product_partner_cell,baseline,153,153,0.9608991843013537,3.72884305241862,0.027134625580737644,0.9584708830062858,3.905928432127279,0.06407278892984473,9974.0,8681202648.37
2011,Exports,product_partner_cell,baseline,150,150,0.9621763820177587,3.7747926594699797,0.027838386735801496,0.960172772329809,3.988664317946037,0.06555513796065399,10269.0,11389113822.0
2012,Exports,product_partner_cell,baseline,152,152,0.9600853243581503,3.8060405329948077,0.02505988837003021,0.9598878694576486,3.9439771272341457,0.05893780175836928,10746.0,11593505790.5
2013,Exports,product_partner_cell,baseline,154,154,0.9620083816036342,3.75794767710806,0.028293318214356433,0.960264966174112,3.983249041001597,0.061817443057028326,11718.5,12515367463.0
2014,Exports,product_partner_cell,baseline,153,153,0.9621059532043521,3.821616904568802,0.025525555609135636,0.9591520349182049,3.9177658019555928,0.05366755612603493,11442.0,13033016046.130003
2015,Exports,product_partner_cell,baseline,153,153,0.9632617619124504,3.7416056788631167,0.023219393411469266,0.9601951319373143,3.918862190038823,0.05172634258123128,12284.0,10741754294.022
2016,Exports,product_partner_cell,baseline,155,155,0.961551886524288,3.7234090112622504,0.02513600613926458,0.9598364176215937,3.9242732314422004,0.0544030744409046,12120.0,10538177840.936
2017,Exports,product_partner_cell,baseline,156,156,0.9635280719139228,3.792517607031443,0.024572005528833415,0.9615547651719246,3.9658396640141413,0.051338825627541634,12243.0,11094893210.571999
2018,Exports,product_partner_cell,baseline,154,154,0.9643117950338402,3.805382658740241,0.02432865881898251,0.9624748773758819,4.0348209889482085,0.05867795563024825,12134.0,11057597917.095001
2019,Exports,product_partner_cell,baseline,154,154,0.9661070350744103,3.953213556972928,0.028939153229444552,0.963620290141396,4.096826429956713,0.06473037473650724,12102.0,11370584600.435
2020,Exports,product_partner_cell,baseline,152,152,0.9635586727214778,3.782217620530695,0.023389072596753803,0.9613616946387931,3.995906763840604,0.059496187983516476,11876.0,10275464599.967499
2021,Exports,product_partner_cell,baseline,153,153,0.9685717741863433,3.8854985228539607,0.027124848108687587,0.9645625127996162,4.095719119163596,0.05724837473765843,12812.0,13331248583.385
2022,Exports,product_partner_cell,baseline,150,150,0.9686567010963627,4.00909147788924,0.03014949781095945,0.9661818197521825,4.195582270566419,0.06728922972059713,12842.0,15148873842.962
2023,Exports,product_partner_cell,baseline,149,149,0.9691785474923245,3.9543852507881034,0.029814903194695472,0.9658410591363482,4.17462720669305,0.07229423812526499,13726.0,12693949147.873999
2024,Exports,product_partner_cell,baseline,132,132,0.9670454203536194,3.9300980458189576,0.02273077688920245,0.9639124234264049,4.123159636961717,0.05894227121268703,16302.0,19928002055.3175
2000,Imports,product_partner_cell,baseline,143,143,0.9260840484348198,3.0890642248566054,0.006386051004724563,0.9241475899328185,3.1615734526416377,0.012671500552240537,29867.0,3404646360.0
2001,Imports,product_partner_cell,baseline,146,146,0.9259383328725856,3.074814737096208,0.006742101744749509,0.9238368207768158,3.146392940904965,0.012071493537946537,30563.5,3958004413.5
2002,Imports,product_partner_cell,baseline,146,146,0.9262889125021374,3.07832880913746,0.006496277808682319,0.9247315555572033,3.1415682300625645,0.010439048174052187,31871.0,4238686866.0
2003,Imports,product_partner_cell,baseline,149,149,0.9289222960262971,3.102876954065233,0.006218847681908704,0.9272770251736411,3.187582322447252,0.011436618909520583,33424.0,4466429580.0
2004,Imports,product_partner_cell,baseline,148,148,0.9329977536465969,3.1898495714302375,0.006279478408454382,0.931024464878124,3.2690141854275203,0.013163162681993825,32690.0,5662285042.959999
2005,Imports,product_partner_cell,baseline,149,149,0.9358875440522032,3.293380648069704,0.007046707028719541,0.934127973933746,3.3799508806618253,0.01498426867488382,39117.0,7884343631.349
2006,Imports,product_partner_cell,baseline,152,152,0.9371138145102816,3.342094950270197,0.007814595209675469,0.935862513998364,3.4225135134255056,0.016427072209317956,37047.0,9410171436.5
2007,Imports,product_partner_cell,baseline,153,153,0.9370379657991406,3.304971288835289,0.0069962027020738235,0.9362206406232015,3.3920791352549,0.014115602583754211,37905.0,11185977236.0
2008,Imports,product_partner_cell,baseline,150,150,0.9386179715005204,3.417341884174385,0.007782181520169303,0.9381073958745929,3.4664605841866742,0.013638956805200634,42950.5,15196833462.088501
2009,Imports,product_partner_cell,baseline,149,149,0.9361858559104408,3.2758390737588368,0.0064657801309314904,0.9349230679752756,3.3383398664007844,0.012527371846032883,39798.0,8957502787.0
2010,Imports,product_partner_cell,baseline,153,153,0.9392455739752124,3.3592410829749277,0.007133996487492434,0.9380374398073217,3.425879890994018,0.011646461336139,42046.0,12351375862.0
2011,Imports,product_partner_cell,baseline,151,151,0.9430752824664776,3.514180947160634,0.008399096736997366,0.9412438681205826,3.5799493948737777,0.015663428791358677,43529.0,16601054053.0
