metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,87,Grenada,GRD,308,2024,Imports,0.8797083779729191,3541,6891,633620435.8679999
gini,88,Saudi Arabia,SAU,682,2024,Imports,0.8782492685475007,5011,6891,223702135322.976
gini,89,Algeria,DZA,12,2024,Imports,0.8775807647315428,4126,6891,47327369554.0
gini,90,USA,USA,842,2024,Imports,0.8770813431070323,5485,6891,3228754846387.0
gini,91,Brazil,BRA,76,2024,Imports,0.8759395883453085,4800,6891,275845105821.0
gini,92,Suriname,SUR,740,2024,Imports,0.874808085570195,2820,6891,1746401295.8000002
gini,93,Peru,PER,604,2024,Imports,0.87461047580628,4684,6891,55008326641.021996
gini,94,Argentina,ARG,32,2024,Imports,0.8746057095155384,4528,6891,60203954980.2
gini,95,United Kingdom,GBR,826,2024,Imports,0.8731524412133649,5401,6891,776500283491.7489
gini,96,Mexico,MEX,484,2024,Imports,0.8726537197006721,4175,6891,544024732870.0
gini,97,Czechia,CZE,203,2024,Imports,0.8724623001387708,5368,6891,229082398703.0
gini,98,Costa Rica,CRI,188,2024,Imports,0.8723113136015783,4553,6891,23674945696.574997
gini,99,Israel,ISR,376,2024,Imports,0.871901747312664,4864,6891,89698654000.0
gini,100,South Africa,ZAF,710,2024,Imports,0.8716960614539628,5268,6891,93018419163.67001
gini,101,Uruguay,URY,858,2024,Imports,0.8711361485663167,4352,6891,12320021143.0
gini,102,Indonesia,IDN,360,2024,Imports,0.8681518781067863,5216,6891,233894256322.0
gini,103,New Zealand,NZL,554,2024,Imports,0.8681220821968725,4938,6891,46859202404.08299
gini,104,Rep. of Moldova,MDA,498,2024,Imports,0.8679454736794854,4423,6891,9044237100.0
gini,105,Finland,FIN,246,2024,Imports,0.8678773324606646,5091,6891,74023379509.134
gini,106,Ukraine,UKR,804,2024,Imports,0.8669935672371731,4885,6891,64803937550.67
gini,107,Lithuania,LTU,440,2024,Imports,0.8669565249385363,5070,6891,42799002225.0
gini,108,Norway,NOR,579,2024,Imports,0.8659328508921111,5167,6891,97802065418.639
gini,109,Montserrat,MSR,500,2024,Imports,0.86550904835979,2556,6891,45630560.20999999
gini,110,Sweden,SWE,752,2024,Imports,0.8631823637527118,5319,6891,179824431462.478
gini,111,Estonia,EST,233,2024,Imports,0.863086257665282,4989,6891,21365696706.98
gini,112,Bulgaria,BGR,100,2024,Imports,0.8623722609948681,5094,6891,51656260915.381
gini,113,Colombia,COL,170,2024,Imports,0.8616626525974258,4796,6891,63313256717.58
gini,114,Latvia,LVA,428,2024,Imports,0.8611369322617086,4938,6891,21337298596.557
gini,115,Kazakhstan,KAZ,398,2024,Imports,0.8608585477752018,5021,6891,59732040910.76
gini,116,Netherlands,NLD,528,2024,Imports,0.8599885885661525,5520,6891,610779669004.717
gini,117,Croatia,HRV,191,2024,Imports,0.8599287379634635,5169,6891,45447733656.0
gini,118,Antigua and Barbuda,ATG,28,2024,Imports,0.8558535492093751,3327,6891,662732555.167
gini,119,Canada,CAN,124,2024,Imports,0.8554983142778747,5532,6891,528235421665.057
gini,120,Bosnia Herzegovina,BIH,70,2024,Imports,0.8554027185797626,4760,6891,15853280486.967999
gini,121,Serbia,SRB,688,2024,Imports,0.8537848767409872,5009,6891,36939782894.0
gini,122,Germany,DEU,276,2024,Imports,0.8523168404097858,5499,6891,1308896181476.719
gini,123,Denmark,DNK,208,2024,Imports,0.8517342600555464,5394,6891,121661184714.539
gini,124,Romania,ROU,642,2024,Imports,0.8476324159255588,5416,6891,136499119417.53
gini,125,Spain,ESP,724,2024,Imports,0.8472812094979103,5506,6891,434178361793.97705
gini,126,Italy,ITA,380,2024,Imports,0.8453003408541084,5498,6891,583103174155.02
gini,127,Poland,POL,616,2024,Imports,0.8441225907234857,5387,6891,373568290917.0
gini,128,Portugal,PRT,620,2024,Imports,0.8420192491055347,5378,6891,112374124888.38
gini,129,France,FRA,251,2024,Imports,0.8415515295767131,5540,6891,761699282847.7411
