flow,product_id,source_raw_file,classification_code
Exports,300410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300420,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300440,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,320417,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,320490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,320730,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,320810,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,320990,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,321000,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,321290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,321410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,321490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330125,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330520,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,330710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340211,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340219,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,340510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,350699,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,360100,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,360200,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,370390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,370610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,370710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,380300,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,380590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,380890,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390311,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390319,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390450,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390599,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390740,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390760,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,390950,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391530,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391721,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391729,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391731,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391740,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,391910,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392010,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392020,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392061,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392113,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392329,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392330,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392350,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392620,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392630,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392640,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,392690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,400239,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,400599,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,401695,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410129,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410421,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410422,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410429,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410431,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410439,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410511,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410512,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410519,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410611,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,410619,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420211,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420212,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420219,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,420222,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
